ECOSYSTEM	ECOSYSTEM_CATEGORY	ECOSYSTEM_TYPE	ECOSYSTEM_SUBTYPE	SPECIFIC_ECOSYSTEM	BROAD_SCALE_LABEL	LOCAL_SCALE_LABEL	MEDIUM_LABEL	ENV_BROAD_SCALE	ENV_LOCAL_SCALE	ENV_MEDIUM	COUNT	gold_path_cat	mixs_cat	count_prop	sum_gp	proportion_gp	sum_mixs	proportion_mixs	interest
Environmental	Aquatic	Marine	Wetlands	Sediment	marine biome	coastal wetland ecosystem	sediment	ENVO_00000447	ENVO_00000230	ENVO_00002007	80.0	Environmental_Aquatic_Marine_Wetlands_Sediment	marine biome_coastal wetland ecosystem_sediment	0.029048656499636893	188.0	0.425531914893617	80.0	1.0	0.012361130425377401
Environmental	Terrestrial	Nest	Alligator nest	Unclassified	terrestrial biome	animal habitation		ENVO_00000446	ENVO_00005803		34.0	Environmental_Terrestrial_Nest_Alligator nest_Unclassified	terrestrial biome_animal habitation_	0.012345679012345678	35.0	0.9714285714285714	34.0	1.0	0.011992945326278658
Environmental	Aquatic	Marine	Hydrothermal vents	Microbial mats	marine hydrothermal vent biome	marine hydrothermal vent	microbial mat	ENVO_01000030	ENVO_01000122	ENVO_01000008	41.0	Environmental_Aquatic_Marine_Hydrothermal vents_Microbial mats	marine hydrothermal vent biome_marine hydrothermal vent_microbial mat	0.014887436456063908	51.0	0.803921568627451	41.0	1.0	0.011968331268600396
Environmental	Terrestrial	Soil	Unclassified	Uranium contaminated	aquatic biome	flood plain	sediment	ENVO_00002030	ENVO_00000255	ENVO_00002007	40.0	Environmental_Terrestrial_Soil_Unclassified_Uranium contaminated	aquatic biome_flood plain_sediment	0.014524328249818447	49.0	0.8163265306122449	40.0	1.0	0.011856594489647711
Environmental	Terrestrial	Oil reservoir	Unclassified	Unclassified	terrestrial biome	oil well	oil	ENVO_00000446	ENVO_01000003	ENVO_00002985	55.0	Environmental_Terrestrial_Oil reservoir_Unclassified_Unclassified	terrestrial biome_oil well_oil	0.019970951343500364	94.0	0.5851063829787234	55.0	1.0	0.011685131105239575
Environmental	Aquatic	Marine	Oceanic	Crustal Fluids	marine biome	marine water body		ENVO_00000447	ENVO_00001999		32.0	Environmental_Aquatic_Marine_Oceanic_Crustal Fluids	marine biome_marine water body_	0.011619462599854757	33.0	0.9696969696969697	32.0	1.0	0.011267357672586431
Environmental	Aquatic	Freshwater	Groundwater	Coalbed water	aquatic biome	coal mine	underground water	ENVO_00002030	ENVO_00002169	ENVO_00005792	33.0	Environmental_Aquatic_Freshwater_Groundwater_Coalbed water	aquatic biome_coal mine_underground water	0.011982570806100218	33.0	1.0	36.0	0.9166666666666666	0.010984023238925198
Environmental	Terrestrial	Rock-dwelling (endoliths)	Unclassified	Unclassified	terrestrial biome	endolithic environment	rock	ENVO_00000446	ENVO_01000303	ENVO_00001995	59.0	Environmental_Terrestrial_Rock-dwelling (endoliths)_Unclassified_Unclassified	terrestrial biome_endolithic environment_rock	0.021423384168482208	117.0	0.5042735042735043	59.0	1.0	0.010803245008038037
Environmental	Terrestrial	Soil	Unclassified	Oil-contaminated	terrestrial biome	land	oil contaminated soil	ENVO_00000446	ENVO_01001785	ENVO_00002875	35.0	Environmental_Terrestrial_Soil_Unclassified_Oil-contaminated	terrestrial biome_land_oil contaminated soil	0.012708787218591141	42.0	0.8333333333333334	35.0	1.0	0.010590656015492618
Environmental	Terrestrial	Soil	Unclassified	Forest Soil	subpolar coniferous forest biome	solid layer	forest soil	ENVO_01000250	ENVO_01001275	ENVO_00002261	212.0	Environmental_Terrestrial_Soil_Unclassified_Forest Soil	subpolar coniferous forest biome_solid layer_forest soil	0.07697893972403776	1549.0	0.1368624919302776	212.0	1.0	0.010535529516782443
